ISO3,Country,Residence Type,Service Type,Year,Coverage,Population,Service level
ABW,Aruba,total,Sanitation,2016,98.60358,103409.51325,At least basic
ABW,Aruba,total,Drinking water,2016,97.86902,102639.15958,At least basic
ABW,Aruba,total,Hygiene,2016,99.3,104139.882,Basic service
ABW,Aruba,total,Sanitation,2016,0,0,Limited service
ABW,Aruba,total,Drinking water,2016,0,0,Limited service
ABW,Aruba,total,Sanitation,2016,0.95731,1003.97027,Open defecation
ABW,Aruba,total,Drinking water,2016,0.17104,179.37692,Surface water
ABW,Aruba,total,Sanitation,2016,0.43911,460.51648,Unimproved
ABW,Aruba,total,Drinking water,2016,1.95994,2055.4635,Unimproved
ABW,Aruba,total,Sanitation,2017,98.64298,104008.17111,At least basic
ABW,Aruba,total,Hygiene,2017,99.3,104700.927,Basic service
ABW,Aruba,total,Sanitation,2017,0,0,Limited service
ABW,Aruba,total,Sanitation,2017,0.94072,991.88678,Open defecation
ABW,Aruba,total,Sanitation,2017,0.4163,438.94211,Unimproved
ABW,Aruba,total,Sanitation,2018,98.68238,104565.82764,At least basic
ABW,Aruba,total,Hygiene,2018,99.3,105220.266,Basic service
ABW,Aruba,total,Sanitation,2018,0,0,Limited service
ABW,Aruba,total,Sanitation,2018,0.92413,979.22769,Open defecation
ABW,Aruba,total,Sanitation,2018,0.39349,416.94467,Unimproved
ABW,Aruba,total,Sanitation,2019,98.72179,105081.44597,At least basic
ABW,Aruba,total,Hygiene,2019,99.3,105696.906,Basic service
ABW,Aruba,total,Sanitation,2019,0,0,Limited service
ABW,Aruba,total,Sanitation,2019,0.90754,966.00483,Open defecation
ABW,Aruba,total,Sanitation,2019,0.37067,394.5492,Unimproved
ABW,Aruba,total,Sanitation,2020,98.76119,105264.61736,At least basic
ABW,Aruba,total,Hygiene,2020,99.3,105838.905,Basic service
ABW,Aruba,total,Sanitation,2020,0,0,Limited service
ABW,Aruba,total,Sanitation,2020,0.89095,949.6202,Open defecation
ABW,Aruba,total,Sanitation,2020,0.34786,370.76244,Unimproved
ABW,Aruba,total,Sanitation,2021,98.8006,105259.19231,At least basic
ABW,Aruba,total,Hygiene,2021,99.3,105791.241,Basic service
ABW,Aruba,total,Sanitation,2021,0,0,Limited service
ABW,Aruba,total,Sanitation,2021,0.87436,931.51809,Open defecation
ABW,Aruba,total,Sanitation,2021,0.32504,346.2896,Unimproved
ABW,Aruba,total,Sanitation,2022,98.84,105210.23983,At least basic
ABW,Aruba,total,Hygiene,2022,99.3,105699.885,Basic service
ABW,Aruba,total,Sanitation,2022,0,0,Limited service
ABW,Aruba,total,Sanitation,2022,0.85777,913.05449,Open defecation
ABW,Aruba,total,Sanitation,2022,0.30223,321.70569,Unimproved
AFG,Afghanistan,total,Sanitation,2016,45.7336,15840385.11113,At least basic
AFG,Afghanistan,rural,Sanitation,2016,41.42178,10757331.64065,At least basic
AFG,Afghanistan,urban,Sanitation,2016,58.65527,5083052.9682,At least basic
AFG,Afghanistan,total,Hygiene,2016,43.01323,14898150.15388,Basic service
AFG,Afghanistan,rural,Hygiene,2016,36.45788,9468195.3206,Basic service
AFG,Afghanistan,urban,Hygiene,2016,62.65829,5429954.33689,Basic service
AFG,Afghanistan,total,Drinking water,2016,40.40994,13996471.37685,Basic service
AFG,Afghanistan,rural,Drinking water,2016,35.81656,9301641.99195,Basic service
AFG,Afghanistan,urban,Drinking water,2016,54.1754,4694828.43754,Basic service
AFG,Afghanistan,total,Hygiene,2016,36.37244,12598034.42458,Limited service
AFG,Afghanistan,rural,Hygiene,2016,39.52682,10265204.86799,Limited service
AFG,Afghanistan,urban,Hygiene,2016,26.9194,2332829.22029,Limited service
AFG,Afghanistan,total,Sanitation,2016,10.21043,3536505.6115,Limited service
AFG,Afghanistan,rural,Sanitation,2016,6.70302,1740790.32543,Limited service
AFG,Afghanistan,urban,Sanitation,2016,20.72143,1795715.14951,Limited service
AFG,Afghanistan,total,Drinking water,2016,3.53822,1225504.0715,Limited service
AFG,Afghanistan,rural,Drinking water,2016,3.78599,983230.54151,Limited service
AFG,Afghanistan,urban,Drinking water,2016,2.79569,242273.49671,Limited service
AFG,Afghanistan,total,Hygiene,2016,20.61433,7140022.11151,No handwashing facility
AFG,Afghanistan,rural,Hygiene,2016,24.0153,6236827.86451,No handwashing facility
AFG,Afghanistan,urban,Hygiene,2016,10.42231,903195.43306,No handwashing facility
AFG,Afghanistan,total,Sanitation,2016,13.31296,4611105.48617,Open defecation
AFG,Afghanistan,rural,Sanitation,2016,17.60745,4572693.72752,Open defecation
AFG,Afghanistan,urban,Sanitation,2016,0.44325,38411.66568,Open defecation
AFG,Afghanistan,total,Drinking water,2016,11.42053,3955638.75937,Surface water
AFG,Afghanistan,rural,Drinking water,2016,14.591,3789315.91466,Surface water
AFG,Afghanistan,urban,Drinking water,2016,1.91926,166322.76003,Surface water
AFG,Afghanistan,total,Drinking water,2016,24.76222,8576693.83797,Safely managed service
AFG,Afghanistan,rural,Drinking water,2016,22.15354,5753325.00419,Safely managed service
AFG,Afghanistan,urban,Drinking water,2016,32.57991,2823368.55919,Safely managed service
AFG,Afghanistan,total,Sanitation,2016,30.743,10648210.7912,Unimproved
AFG,Afghanistan,rural,Sanitation,2016,34.26775,8899412.30639,Unimproved
AFG,Afghanistan,urban,Sanitation,2016,20.18005,1748799.21661,Unimproved
AFG,Afghanistan,total,Drinking water,2016,19.86909,6881899.14239,Unimproved
AFG,Afghanistan,rural,Drinking water,2016,23.65291,6142714.16014,Unimproved
AFG,Afghanistan,urban,Drinking water,2016,8.52974,739185.82612,Unimproved
AFG,Afghanistan,total,Sanitation,2017,47.47762,16922645.05536,At least basic
AFG,Afghanistan,rural,Sanitation,2017,42.9713,11449039.99975,At least basic
AFG,Afghanistan,urban,Sanitation,2017,60.81809,5473605.51828,At least basic
AFG,Afghanistan,total,Hygiene,2017,43.89838,15646883.04457,Basic service
AFG,Afghanistan,rural,Hygiene,2017,37.79435,10069719.88599,Basic service
AFG,Afghanistan,urban,Hygiene,2017,61.96874,5577163.57478,Basic service
AFG,Afghanistan,total,Drinking water,2017,42.33746,15090516.32336,Basic service
AFG,Afghanistan,rural,Drinking water,2017,37.80674,10073023.10191,Basic service
AFG,Afghanistan,urban,Drinking water,2017,55.75016,5017493.44868,Basic service
AFG,Afghanistan,total,Hygiene,2017,38.00828,13547448.61329,Limited service
AFG,Afghanistan,rural,Hygiene,2017,41.18495,10973095.1691,Limited service
AFG,Afghanistan,urban,Hygiene,2017,28.60405,2574353.85516,Limited service
AFG,Afghanistan,total,Sanitation,2017,10.45737,3727365.44631,Limited service
AFG,Afghanistan,rural,Sanitation,2017,6.95171,1852176.46645,Limited service
AFG,Afghanistan,urban,Sanitation,2017,20.83552,1875189.06674,Limited service
AFG,Afghanistan,total,Drinking water,2017,3.22568,1149744.05042,Limited service
AFG,Afghanistan,rural,Drinking water,2017,3.45784,921289.08849,Limited service
AFG,Afghanistan,urban,Drinking water,2017,2.5384,228454.99659,Limited service
AFG,Afghanistan,total,Hygiene,2017,18.09334,6449086.13755,No handwashing facility
AFG,Afghanistan,rural,Hygiene,2017,21.0207,5600641.07654,No handwashing facility
