,Region,Year,Basic Sanitation,Limited Sanitation,Open Defecation,Safely Managed Sanitation,Unimproved Sanitation
0,Australia and New Zealand,2000,6.42874,0,0,93.56357,0.00769
1,Australia and New Zealand,2001,6.32666,0,0,93.66607,0.00728
2,Australia and New Zealand,2002,6.22457,0,0,93.76857,0.00686
3,Australia and New Zealand,2003,6.12248,0,0,93.87108,0.00644
4,Australia and New Zealand,2004,6.0204,0,0,93.97358,0.00602
5,Australia and New Zealand,2005,5.91831,0,0,94.07608,0.0056
6,Australia and New Zealand,2006,5.81623,0,0,94.17858,0.00519
7,Australia and New Zealand,2007,5.71414,0,0,94.28107,0.00479
8,Australia and New Zealand,2008,5.61206,0,0,94.38356,0.00438
9,Australia and New Zealand,2009,5.50997,0,0,94.48606,0.00397
10,Australia and New Zealand,2010,5.40789,0,0,94.58855,0.00356
11,Australia and New Zealand,2011,5.3058,0,0,94.69105,0.00315
12,Australia and New Zealand,2012,5.20372,0,0,94.79355,0.00273
13,Australia and New Zealand,2013,5.10163,0,0,94.89605,0.00232
14,Australia and New Zealand,2014,4.99955,0,0,94.99855,0.0019
15,Australia and New Zealand,2015,4.89747,0,0,95.10105,0.00148
16,Australia and New Zealand,2016,4.79538,0,0,95.20355,0.00107
17,Australia and New Zealand,2017,4.6933,0,0,95.30605,0.00065
18,Australia and New Zealand,2018,4.591,0,0,95.40877,0.00023
19,Australia and New Zealand,2019,4.48863,0,0,95.51137,0
20,Australia and New Zealand,2020,4.38625,0,0,95.61375,0
21,Australia and New Zealand,2021,4.28388,0,0,95.71612,0
22,Australia and New Zealand,2022,4.18151,0,0,95.81849,0
23,Central and Southern Asia,2000,41.067,23.76011,149.604,47.36603,38.20284
24,Central and Southern Asia,2001,43.79441,25.27596,143.77693,50.33556,36.81714
25,Central and Southern Asia,2002,46.87296,26.40273,137.90464,53.39001,35.42966
26,Central and Southern Asia,2003,49.98261,27.46998,132.04123,56.46582,34.04037
27,Central and Southern Asia,2004,51.15874,28.4696,126.17974,61.59006,32.60186
28,Central and Southern Asia,2005,53.15992,29.39192,120.32956,65.96628,31.1523
29,Central and Southern Asia,2006,55.15866,30.24755,114.49193,70.40635,29.69551
30,Central and Southern Asia,2007,56.85074,31.0331,108.68317,75.22677,28.20623
31,Central and Southern Asia,2008,58.57477,31.75198,102.88276,80.0732,26.71728
32,Central and Southern Asia,2009,60.31759,32.4059,97.07072,84.95158,25.25421
33,Central and Southern Asia,2010,62.07984,33.00271,91.2551,89.8622,23.80015
34,Central and Southern Asia,2011,63.85223,33.54387,85.44681,94.79942,22.35767
35,Central and Southern Asia,2012,65.62831,34.03108,79.65065,99.77724,20.91271
36,Central and Southern Asia,2013,67.40778,34.46095,73.86843,104.80954,19.45331
37,Central and Southern Asia,2014,69.07931,34.82881,68.08381,110.01532,17.99276
38,Central and Southern Asia,2015,70.74468,35.13441,62.30916,115.29123,16.52051
39,Central and Southern Asia,2016,72.42576,35.38586,56.5625,120.58241,15.04348
40,Central and Southern Asia,2017,74.11576,35.55862,52.07057,125.72849,12.52655
