Type,Region,Residence Type,Service Type,Year,Coverage,Population,Service level
sdg,Australia and New Zealand,total,Drinking water,2000,99.76079,22818513.39597,At least basic
sdg,Australia and New Zealand,rural,Drinking water,2000,99.2004,3508826.58175,At least basic
sdg,Australia and New Zealand,total,Drinking water,2001,99.75979,23082141.82978,At least basic
sdg,Australia and New Zealand,rural,Drinking water,2001,99.19829,3572235.51418,At least basic
sdg,Australia and New Zealand,total,Drinking water,2002,99.76071,23368375.19934,At least basic
sdg,Australia and New Zealand,rural,Drinking water,2002,99.19909,3590355.38413,At least basic
sdg,Australia and New Zealand,total,Drinking water,2003,99.77938,23666611.27061,At least basic
sdg,Australia and New Zealand,rural,Drinking water,2003,99.26952,3611604.10194,At least basic
sdg,Australia and New Zealand,total,Drinking water,2004,99.79777,23957916.19433,At least basic
sdg,Australia and New Zealand,rural,Drinking water,2004,99.33947,3631537.54331,At least basic
sdg,Australia and New Zealand,total,Drinking water,2005,99.81587,24259760.74902,At least basic
sdg,Australia and New Zealand,rural,Drinking water,2005,99.40895,3652855.15361,At least basic
sdg,Australia and New Zealand,total,Drinking water,2006,99.83373,24606027.58,At least basic
sdg,Australia and New Zealand,rural,Drinking water,2006,99.47808,3680621.79759,At least basic
sdg,Australia and New Zealand,total,Drinking water,2007,99.85137,25015087.76236,At least basic
sdg,Australia and New Zealand,rural,Drinking water,2007,99.54753,3721444.31748,At least basic
sdg,Australia and New Zealand,total,Drinking water,2008,99.86885,25474658.20383,At least basic
sdg,Australia and New Zealand,rural,Drinking water,2008,99.6167,3769293.15379,At least basic
sdg,Australia and New Zealand,total,Drinking water,2009,99.88627,25934248.72614,At least basic
sdg,Australia and New Zealand,rural,Drinking water,2009,99.6859,3816400.20027,At least basic
sdg,Australia and New Zealand,total,Drinking water,2010,99.90241,26339775.34129,At least basic
sdg,Australia and New Zealand,rural,Drinking water,2010,99.74672,3854546.32727,At least basic
sdg,Australia and New Zealand,total,Drinking water,2011,99.90966,26714148.86794,At least basic
sdg,Australia and New Zealand,rural,Drinking water,2011,99.74713,3885630.25665,At least basic
sdg,Australia and New Zealand,total,Drinking water,2012,99.91689,27116998.65377,At least basic
sdg,Australia and New Zealand,rural,Drinking water,2012,99.74705,3918421.21742,At least basic
sdg,Australia and New Zealand,total,Drinking water,2013,99.92419,27541530.47914,At least basic
sdg,Australia and New Zealand,rural,Drinking water,2013,99.74706,3953974.20844,At least basic
sdg,Australia and New Zealand,total,Drinking water,2014,99.96769,27974732.62295,At least basic
sdg,Australia and New Zealand,rural,Drinking water,2014,100,3998452.81,At least basic
sdg,Australia and New Zealand,total,Drinking water,2015,99.97485,28403680.11035,At least basic
sdg,Australia and New Zealand,rural,Drinking water,2015,100,4033084.19,At least basic
sdg,Australia and New Zealand,total,Drinking water,2016,99.97482,28856515.22677,At least basic
sdg,Australia and New Zealand,rural,Drinking water,2016,100,4070648.94,At least basic
sdg,Australia and New Zealand,total,Drinking water,2017,99.9748,29329193.53222,At least basic
sdg,Australia and New Zealand,rural,Drinking water,2017,100,4108610.63,At least basic
sdg,Australia and New Zealand,total,Drinking water,2018,99.97478,29810235.69501,At least basic
sdg,Australia and New Zealand,rural,Drinking water,2018,100,4145457.24,At least basic
sdg,Australia and New Zealand,total,Drinking water,2019,99.97479,30308559.92032,At least basic
sdg,Australia and New Zealand,rural,Drinking water,2019,100,4182326.93,At least basic
sdg,Australia and New Zealand,total,Drinking water,2020,99.97479,30723436.1754,At least basic
sdg,Australia and New Zealand,rural,Drinking water,2020,100,4205123.44,At least basic
sdg,Australia and New Zealand,total,Drinking water,2021,99.97477,31042981.07236,At least basic
sdg,Australia and New Zealand,rural,Drinking water,2021,100,4212806.75,At least basic
sdg,Australia and New Zealand,total,Drinking water,2022,99.97474,31354777.46142,At least basic
sdg,Australia and New Zealand,rural,Drinking water,2022,100,4217194,At least basic
sdg,Eastern and South-Eastern Asia,rural,Drinking water,2000,69.68501,834323188.08924,At least basic
sdg,Eastern and South-Eastern Asia,rural,Drinking water,2001,69.91207,829680339.38768,At least basic
sdg,Eastern and South-Eastern Asia,rural,Drinking water,2002,71.22322,836374428.46792,At least basic
sdg,Eastern and South-Eastern Asia,rural,Drinking water,2003,72.32164,839312937.77381,At least basic
sdg,Eastern and South-Eastern Asia,rural,Drinking water,2004,73.41973,841555417.60088,At least basic
sdg,Eastern and South-Eastern Asia,rural,Drinking water,2005,74.51135,843195845.0293,At least basic
sdg,Eastern and South-Eastern Asia,rural,Drinking water,2006,75.60248,844911023.6225,At least basic
sdg,Eastern and South-Eastern Asia,rural,Drinking water,2007,76.69468,846505141.37432,At least basic
sdg,Eastern and South-Eastern Asia,rural,Drinking water,2008,77.7869,847578755.18615,At least basic
sdg,Eastern and South-Eastern Asia,rural,Drinking water,2009,78.87839,848216652.55495,At least basic
sdg,Eastern and South-Eastern Asia,rural,Drinking water,2010,79.96587,848308592.98833,At least basic
